Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Vitoria-Gasteiz,2.696 €/m2,"0,011","0,023","0,054",2.975 €/m2 oct 2008,"- 9,4 %",mayo 2025
Guipúzcoa,3.862 €/m2,"0,021","0,025","0,071",3.862 €/m2 mayo 2025,"0,0 %",mayo 2025
Donostia-San Sebastián,6.025 €/m2,"0,012","0,025","0,084",6.025 €/m2 mayo 2025,"0,0 %",mayo 2025
Vizcaya,3.043 €/m2,"0,017","0,028","0,086",3.360 €/m2 abr 2011,"- 9,4 %",mayo 2025
Bilbao,3.553 €/m2,"0,008","0,008","0,079",3.591 €/m2 mayo 2011,"- 1,1 %",mayo 2025
Extremadura,982 €/m2,"0,01","0,024","- 1,3 %",1.217 €/m2 abr 2011,"- 19,3 %",mayo 2025
Badajoz provincia,966 €/m2,"0,016","0,028","- 3,4 %",1.278 €/m2 abr 2011,"- 24,4 %",mayo 2025
Badajoz,1.485 €/m2,"0,004","0,016","0,036",1.719 €/m2 abr 2008,"- 13,6 %",mayo 2025
Cáceres provincia,1.001 €/m2,"0,002","0,017","0,011",1.174 €/m2 mar 2008,"- 14,7 %",mayo 2025
Cáceres,1.434 €/m2,"0,012","0,032","0,114",1.600 €/m2 jul 2008,"- 10,4 %",mayo 2025
Galicia,1.434 €/m2,"0,008","0,018","0,027",1.775 €/m2 nov 2011,"- 19,2 %",mayo 2025
A Coruña provincia,1.448 €/m2,"0,016","0,035","0,054",1.832 €/m2 nov 2011,"- 21,0 %",mayo 2025
A Coruña,2.733 €/m2,"0,009","0,031","0,109",2.895 €/m2 ago 2008,"- 5,6 %",mayo 2025
Lugo provincia,1.083 €/m2,"0,016","0,029","0,047",1.616 €/m2 mayo 2011,"- 33,0 %",mayo 2025
Lugo,1.423 €/m2,"0,025","0,042","0,09",1.918 €/m2 jun 2011,"- 25,8 %",mayo 2025
Ourense provincia,1.048 €/m2,"- 1,5 %","- 3,0 %","- 7,8 %",1.531 €/m2 nov 2011,"- 31,5 %",mayo 2025
Ourense,1.487 €/m2,"- 0,7 %","- 0,3 %","- 0,2 %",1.914 €/m2 nov 2011,"- 22,3 %",mayo 2025
Pontevedra provincia,1.717 €/m2,"0,008","0,019","0,045",1.935 €/m2 jun 2007,"- 11,3 %",mayo 2025
Pontevedra,2.154 €/m2,"0,015","0,074","0,119",2.154 €/m2 mayo 2025,"0,0 %",mayo 2025
La Rioja,1.362 €/m2,"0,01","0,016","0,021",1.652 €/m2 ene 2008,"- 17,5 %",mayo 2025
La Rioja,1.362 €/m2,"0,01","0,016","0,021",1.652 €/m2 ene 2008,"- 17,5 %",mayo 2025
Logroño,1.844 €/m2,"0,015","0,018","0,059",1.993 €/m2 abr 2011,"- 7,5 %",mayo 2025
Madrid Comunidad,4.234 €/m2,"0,021","0,072","0,243",4.234 €/m2 mayo 2025,"0,0 %",mayo 2025
Madrid provincia,4.234 €/m2,"0,021","0,072","0,243",4.234 €/m2 mayo 2025,"0,0 %",mayo 2025
Madrid,5.573 €/m2,"0,019","0,064","0,246",5.573 €/m2 mayo 2025,"0,0 %",mayo 2025
Melilla,2.073 €/m2,"0,014","0,038","0,068",2.073 €/m2 mayo 2025,"0,0 %",mayo 2025
Melilla provincia,2.073 €/m2,"0,014","0,038","0,068",2.073 €/m2 mayo 2025,"0,0 %",mayo 2025
Melilla,2.073 €/m2,"0,014","0,038","0,068",2.073 €/m2 mayo 2025,"0,0 %",mayo 2025
