Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Extremadura,943 €/m2,"0,005","0,016","0,002",1.217 €/m2 abr 2011,"- 22,6 %",2022
Badajoz provincia,967 €/m2,"0,002","0,021","0,014",1.278 €/m2 abr 2011,"- 24,3 %",2022
Badajoz,1.361 €/m2,"0,003","0,024","0,068",1.719 €/m2 abr 2008,"- 20,9 %",2022
Cáceres provincia,912 €/m2,"0,008","0,008","- 1,3 %",1.174 €/m2 mar 2008,"- 22,3 %",2022
Cáceres,1.185 €/m2,"0,003","0,014","0,014",1.600 €/m2 jul 2008,"- 25,9 %",2022
Galicia,1.338 €/m2,"0,001","0,01","0,007",1.775 €/m2 nov 2011,"- 24,7 %",2022
A Coruña provincia,1.282 €/m2,"- 0,1 %","0,011","0,009",1.832 €/m2 nov 2011,"- 30,0 %",2022
A Coruña,2.283 €/m2,"0,005","0,024","0,066",2.895 €/m2 ago 2008,"- 21,2 %",2022
Lugo provincia,981 €/m2,"- 0,4 %","- 0,1 %","0,006",1.616 €/m2 mayo 2011,"- 39,3 %",2022
Lugo,1.221 €/m2,"- 0,7 %","- 0,5 %","- 0,4 %",1.918 €/m2 jun 2011,"- 36,3 %",2022
Ourense provincia,1.160 €/m2,"0,005","0,014","0,008",1.531 €/m2 nov 2011,"- 24,3 %",2022
Ourense,1.450 €/m2,"0,007","0,013","0,014",1.914 €/m2 nov 2011,"- 24,3 %",2022
Pontevedra provincia,1.589 €/m2,"0,001","0,006","0,015",1.935 €/m2 jun 2007,"- 17,9 %",2022
Pontevedra,1.800 €/m2,"0,018","0,042","0,059",2.154 €/m2 mayo 2025,"- 16,4 %",2022
La Rioja,1.260 €/m2,"- 0,4 %","0,015","- 0,4 %",1.652 €/m2 ene 2008,"- 23,7 %",2022
La Rioja,1.260 €/m2,"- 0,4 %","0,015","- 0,4 %",1.652 €/m2 ene 2008,"- 23,7 %",2022
Logroño,1.594 €/m2,"- 0,2 %","0,012","0,014",1.993 €/m2 abr 2011,"- 20,0 %",2022
Madrid Comunidad,3.062 €/m2,"- 0,4 %","0,006","0,057",4.234 €/m2 mayo 2025,"- 27,7 %",2022
Madrid provincia,3.062 €/m2,"- 0,4 %","0,006","0,057",4.234 €/m2 mayo 2025,"- 27,7 %",2022
Madrid,3.881 €/m2,"- 0,9 %","- 0,8 %","0,063",5.573 €/m2 mayo 2025,"- 30,4 %",2022
Melilla,1.885 €/m2,"- 0,7 %","0,008","0,023",2.073 €/m2 mayo 2025,"- 9,1 %",2022
Melilla provincia,1.885 €/m2,"- 0,7 %","0,008","0,023",2.073 €/m2 mayo 2025,"- 9,1 %",2022
Melilla,1.885 €/m2,"- 0,7 %","0,008","0,023",2.073 €/m2 mayo 2025,"- 9,1 %",2022
Murcia Región,1.080 €/m2,"- 0,6 %","- 1,0 %","0,017",1.786 €/m2 sep 2006,"- 39,5 %",2022
Murcia provincia,1.080 €/m2,"- 0,6 %","- 1,0 %","0,017",1.786 €/m2 sep 2006,"- 39,5 %",2022
Murcia,1.103 €/m2,"- 0,9 %","0,012","0,025",1.757 €/m2 sep 2007,"- 37,3 %",2022
Navarra,1.568 €/m2,"- 1,0 %","0,024","0,057",1.870 €/m2 oct 2007,"- 16,1 %",2022
Navarra,1.568 €/m2,"- 1,0 %","0,024","0,057",1.870 €/m2 oct 2007,"- 16,1 %",2022
Pamplona/Iruña,2.541 €/m2,"- 1,0 %","- 2,6 %","0,075",2.827 €/m2 dic 2024,"- 10,1 %",2022
Andalucía,1.778 €/m2,"- 0,4 %","0,0 %","0,071",2.468 €/m2 mayo 2025,"- 28,0 %",2021
Almería provincia,1.089 €/m2,"- 0,6 %","0,004","0,006",1.868 €/m2 jul 2006,"- 41,7 %",2021
Almería,1.214 €/m2,"0,003","0,022","0,016",2.257 €/m2 sep 2008,"- 46,2 %",2021
Cádiz provincia,1.537 €/m2,"- 0,7 %","- 1,2 %","0,009",2.272 €/m2 abr 2007,"- 32,3 %",2021
Cádiz,2.382 €/m2,"- 0,5 %","0,01","0,03",3.035 €/m2 dic 2024,"- 21,5 %",2021
Córdoba provincia,1.160 €/m2,"- 0,6 %","- 2,5 %","- 1,3 %",1.801 €/m2 nov 2007,"- 35,6 %",2021
Córdoba,1.397 €/m2,"0,0 %","- 0,1 %","0,002",2.178 €/m2 dic 2007,"- 35,8 %",2021
Granada provincia,1.285 €/m2,"0,001","0,018","0,07",1.782 €/m2 mayo 2007,"- 27,9 %",2021
Granada,1.818 €/m2,"0,011","0,02","0,056",2.422 €/m2 mayo 2025,"- 25,0 %",2021
Huelva provincia,1.260 €/m2,"- 0,3 %","0,004","0,004",1.919 €/m2 sep 2007,"- 34,4 %",2021
Huelva,1.105 €/m2,"- 1,0 %","- 0,2 %","- 0,2 %",1.678 €/m2 mayo 2008,"- 34,1 %",2021
Jaén provincia,826 €/m2,"- 0,2 %","0,002","- 2,9 %",1.320 €/m2 sep 2007,"- 37,5 %",2021
Jaén,1.105 €/m2,"- 0,1 %","0,002","- 4,5 %",1.672 €/m2 oct 2008,"- 33,9 %",2021
Málaga provincia,2.446 €/m2,"0,004","0,012","0,079",3.718 €/m2 mayo 2025,"- 34,2 %",2021
Málaga,2.170 €/m2,"0,002","0,002","0,032",3.427 €/m2 mayo 2025,"- 36,7 %",2021
Sevilla provincia,1.394 €/m2,"- 0,2 %","0,011","- 0,9 %",1.970 €/m2 mar 2008,"- 29,3 %",2021
Sevilla,1.950 €/m2,"0,001","0,008","- 2,2 %",2.646 €/m2 sep 2007,"- 26,3 %",2021
Aragón,1.319 €/m2,"- 0,2 %","0,017","0,001",2.008 €/m2 mar 2007,"- 34,3 %",2021
Huesca provincia,1.395 €/m2,"- 0,2 %","0,014","0,0 %",2.246 €/m2 ago 2007,"- 37,9 %",2021
Huesca,1.445 €/m2,"0,01","0,004","0,04",1.738 €/m2 mar 2011,"- 16,8 %",2021
Teruel provincia,884 €/m2,"- 0,7 %","- 1,0 %","- 1,9 %",1.118 €/m2 jun 2008,"- 21,0 %",2021
Teruel,1.172 €/m2,"- 1,4 %","- 1,8 %","0,029",1.660 €/m2 nov 2010,"- 29,4 %",2021
Zaragoza provincia,1.345 €/m2,"- 0,2 %","0,022","0,007",2.135 €/m2 mayo 2007,"- 37,0 %",2021
Zaragoza,1.621 €/m2,"- 0,2 %","0,01","0,012",2.787 €/m2 dic 2007,"- 41,8 %",2021
Asturias,1.336 €/m2,"- 0,1 %","0,008","- 0,8 %",1.867 €/m2 abr 2008,"- 28,4 %",2021
Asturias,1.336 €/m2,"- 0,1 %","0,008","- 0,8 %",1.867 €/m2 abr 2008,"- 28,4 %",2021
Oviedo,1.549 €/m2,"- 0,1 %","0,007","0,008",2.179 €/m2 ene 2009,"- 28,9 %",2021
Baleares,3.291 €/m2,"0,011","0,019","0,065",4.905 €/m2 mayo 2025,"- 32,9 %",2021
Baleares,3.291 €/m2,"0,011","0,019","0,065",4.905 €/m2 mayo 2025,"- 32,9 %",2021
Palma de Mallorca,3.092 €/m2,"0,004","0,01","0,054",4.772 €/m2 mayo 2025,"- 35,2 %",2021
Canarias,1.966 €/m2,"0,004","0,02","0,053",3.039 €/m2 mayo 2025,"- 35,3 %",2021
Las Palmas,1.961 €/m2,"0,006","0,009","0,011",2.778 €/m2 mayo 2025,"- 29,4 %",2021
Las Palmas de Gran Canaria,2.040 €/m2,"0,006","0,009","- 1,3 %",2.507 €/m2 mayo 2025,"- 18,6 %",2021
Santa Cruz de Tenerife provincia,1.970 €/m2,"0,003","0,029","0,09",3.224 €/m2 mayo 2025,"- 38,9 %",2021
Santa Cruz de Tenerife,1.460 €/m2,"0,001","- 2,7 %","- 4,2 %",2.214 €/m2 abr 2025,"- 34,1 %",2021
Cantabria,1.465 €/m2,"- 0,7 %","- 0,2 %","0,012",2.010 €/m2 feb 2008,"- 27,1 %",2021
Cantabria,1.465 €/m2,"- 0,7 %","- 0,2 %","0,012",2.010 €/m2 feb 2008,"- 27,1 %",2021
Santander,1.909 €/m2,"- 1,0 %","- 0,1 %","0,028",2.727 €/m2 mayo 2025,"- 30,0 %",2021
Castilla y León,1.148 €/m2,"0,002","0,019","0,011",1.481 €/m2 jun 2011,"- 22,5 %",2021
Ávila provincia,845 €/m2,"- 0,2 %","- 0,9 %","- 0,2 %",1.266 €/m2 mar 2008,"- 33,3 %",2021
Ávila,1.074 €/m2,"0,0 %","- 1,6 %","- 2,3 %",1.744 €/m2 jul 2008,"- 38,4 %",2021
Burgos provincia,1.181 €/m2,"0,0 %","0,009","- 0,2 %",1.655 €/m2 sep 2011,"- 28,6 %",2021
Burgos,1.610 €/m2,"0,006","0,009","0,034",2.176 €/m2 nov 2008,"- 26,0 %",2021
León provincia,1.002 €/m2,"0,006","0,017","0,017",1.351 €/m2 jun 2011,"- 25,8 %",2021
León,1.330 €/m2,"0,007","0,007","- 0,8 %",1.898 €/m2 feb 2011,"- 29,9 %",2021
Palencia provincia,1.130 €/m2,"- 0,1 %","0,0 %","- 0,6 %",1.335 €/m2 feb 2012,"- 15,3 %",2021
Palencia,1.325 €/m2,"- 0,5 %","- 1,0 %","- 1,7 %",1.724 €/m2 ene 2009,"- 23,2 %",2021
Salamanca provincia,1.318 €/m2,"0,003","0,008","0,012",1.719 €/m2 mar 2011,"- 23,3 %",2021
Salamanca,1.676 €/m2,"- 0,1 %","- 0,5 %","0,009",2.480 €/m2 mar 2008,"- 32,4 %",2021
Segovia provincia,1.121 €/m2,"0,004","0,021","0,029",1.601 €/m2 sep 2007,"- 30,0 %",2021
Segovia,1.551 €/m2,"0,012","0,016","0,003",2.252 €/m2 mar 2009,"- 31,1 %",2021
Soria provincia,989 €/m2,"0,003","0,004","- 1,3 %",1.372 €/m2 nov 2010,"- 27,9 %",2021
Soria,1.306 €/m2,"0,013","0,024","0,008",1.913 €/m2 nov 2010,"- 31,7 %",2021
Valladolid provincia,1.309 €/m2,"- 0,2 %","0,089","0,025",1.776 €/m2 oct 2007,"- 26,3 %",2021
Valladolid,1.543 €/m2,"- 0,9 %","0,074","0,01",2.117 €/m2 oct 2007,"- 27,1 %",2021
Zamora provincia,964 €/m2,"- 1,0 %","0,0 %","- 1,7 %",1.368 €/m2 mar 2011,"- 29,5 %",2021
Zamora,1.145 €/m2,"- 1,3 %","- 1,6 %","- 2,3 %",1.607 €/m2 mar 2011,"- 28,8 %",2021
Castilla-La Mancha,879 €/m2,"0,002","0,012","0,013",1.424 €/m2 mayo 2007,"- 38,3 %",2021
Albacete provincia,1.047 €/m2,"0,0 %","- 1,2 %","- 2,1 %",1.570 €/m2 abr 2008,"- 33,3 %",2021
Albacete,1.349 €/m2,"0,001","0,002","0,012",1.852 €/m2 jun 2008,"- 27,2 %",2021
Ciudad Real provincia,770 €/m2,"0,012","0,015","- 0,2 %",1.391 €/m2 jun 2007,"- 44,7 %",2021
Ciudad Real,1.134 €/m2,"0,01","0,02","0,0 %",1.877 €/m2 abr 2008,"- 39,6 %",2021
Cuenca provincia,802 €/m2,"- 0,2 %","0,022","0,028",1.109 €/m2 ago 2008,"- 27,7 %",2021
Cuenca,1.178 €/m2,"0,0 %","0,021","0,031",1.674 €/m2 mar 2010,"- 29,6 %",2021
Guadalajara provincia,1.083 €/m2,"- 0,5 %","0,016","0,024",1.661 €/m2 jun 2007,"- 34,8 %",2021
Guadalajara,1.352 €/m2,"- 0,8 %","- 0,6 %","0,005",2.137 €/m2 mayo 2008,"- 36,7 %",2021
Toledo provincia,827 €/m2,"0,002","0,019","0,072",1.465 €/m2 nov 2006,"- 43,5 %",2021
Toledo,1.435 €/m2,"0,006","0,0 %","0,06",2.067 €/m2 mayo 2008,"- 30,6 %",2021
Cataluña,2.277 €/m2,"0,002","0,01","0,015",2.677 €/m2 jun 2007,"- 14,9 %",2021
Barcelona provincia,2.655 €/m2,"0,002","0,003","0,003",2.914 €/m2 mayo 2025,"- 8,9 %",2021
Barcelona,3.910 €/m2,"0,001","0,003","- 2,7 %",4.895 €/m2 mayo 2025,"- 20,1 %",2021
Girona provincia,2.095 €/m2,"- 0,1 %","- 0,4 %","0,025",2.522 €/m2 jun 2007,"- 16,9 %",2021
Girona,2.187 €/m2,"- 0,2 %","- 2,3 %","0,033",2.639 €/m2 ago 2024,"- 17,1 %",2021
Lleida provincia,1.253 €/m2,"- 0,3 %","- 0,5 %","0,045",2.076 €/m2 ago 2007,"- 39,6 %",2021
Lleida,1.037 €/m2,"0,003","- 1,5 %","0,01",1.742 €/m2 abr 2009,"- 40,5 %",2021
Tarragona provincia,1.376 €/m2,"- 0,1 %","- 0,6 %","0,037",2.120 €/m2 oct 2006,"- 35,1 %",2021
Tarragona,1.737 €/m2,"0,013","0,005","0,037",2.550 €/m2 oct 2008,"- 31,9 %",2021
Ceuta,2.084 €/m2,"0,062","0,058","- 7,2 %",2.393 €/m2 mar 2025,"- 12,9 %",2021
Ceuta provincia,2.084 €/m2,"0,062","0,058","- 7,2 %",2.393 €/m2 mar 2025,"- 12,9 %",2021
Comunitat Valenciana,1.479 €/m2,"- 0,1 %","- 0,3 %","0,047",2.207 €/m2 mayo 2025,"- 33,0 %",2021
Alicante/Alacant,1.681 €/m2,"0,003","0,004","0,046",2.521 €/m2 mayo 2025,"- 33,3 %",2021
Alicante / Alacant,1.467 €/m2,"0,003","- 0,8 %","- 1,5 %",2.371 €/m2 mayo 2025,"- 38,1 %",2021
Castellón/Castelló,1.111 €/m2,"0,0 %","0,005","0,019",1.953 €/m2 jul 2007,"- 43,1 %",2021
Castellón de la Plana / Castello de la Plana,1.176 €/m2,"- 0,1 %","0,003","0,07",1.831 €/m2 ene 2008,"- 35,8 %",2021
Valencia/Valéncia,1.215 €/m2,"- 0,9 %","- 1,7 %","- 0,8 %",1.943 €/m2 oct 2006,"- 37,5 %",2021
València,1.850 €/m2,"- 0,2 %","- 0,6 %","0,01",3.017 €/m2 mayo 2025,"- 38,7 %",2021
Euskadi,2.690 €/m2,"0,006","0,007","0,019",3.255 €/m2 abr 2011,"- 17,4 %",2021
Álava,2.184 €/m2,"0,007","0,022","0,068",2.490 €/m2 ene 2011,"- 12,3 %",2021
Vitoria-Gasteiz,2.430 €/m2,"0,008","0,009","0,066",2.975 €/m2 oct 2008,"- 18,3 %",2021
Guipúzcoa,3.199 €/m2,"0,008","- 0,6 %","0,016",3.862 €/m2 mayo 2025,"- 17,2 %",2021
Donostia-San Sebastián,4.938 €/m2,"0,005","- 1,3 %","0,029",6.025 €/m2 mayo 2025,"- 18,0 %",2021
Vizcaya,2.632 €/m2,"0,005","0,015","0,016",3.360 €/m2 abr 2011,"- 21,7 %",2021
Bilbao,3.031 €/m2,"0,007","0,016","0,005",3.591 €/m2 mayo 2011,"- 15,6 %",2021
Extremadura,941 €/m2,"- 0,1 %","- 0,3 %","0,021",1.217 €/m2 abr 2011,"- 22,7 %",2021
Badajoz provincia,953 €/m2,"0,004","- 0,9 %","0,037",1.278 €/m2 abr 2011,"- 25,4 %",2021
Badajoz,1.274 €/m2,"0,004","0,018","0,045",1.719 €/m2 abr 2008,"- 25,9 %",2021
Cáceres provincia,924 €/m2,"- 0,7 %","0,008","- 0,1 %",1.174 €/m2 mar 2008,"- 21,2 %",2021
Cáceres,1.168 €/m2,"- 0,8 %","- 0,5 %","0,023",1.600 €/m2 jul 2008,"- 27,0 %",2021
Galicia,1.328 €/m2,"0,003","0,006","0,001",1.775 €/m2 nov 2011,"- 25,2 %",2021
A Coruña provincia,1.270 €/m2,"0,003","0,001","- 2,6 %",1.832 €/m2 nov 2011,"- 30,7 %",2021
A Coruña,2.142 €/m2,"0,018","0,018","0,005",2.895 €/m2 ago 2008,"- 26,0 %",2021
Lugo provincia,974 €/m2,"- 0,2 %","- 0,8 %","- 3,8 %",1.616 €/m2 mayo 2011,"- 39,7 %",2021
Lugo,1.226 €/m2,"- 0,3 %","- 0,6 %","- 3,2 %",1.918 €/m2 jun 2011,"- 36,1 %",2021
Ourense provincia,1.151 €/m2,"0,001","0,012","- 1,1 %",1.531 €/m2 nov 2011,"- 24,8 %",2021
Ourense,1.430 €/m2,"- 0,4 %","- 1,1 %","- 1,2 %",1.914 €/m2 nov 2011,"- 25,3 %",2021
Pontevedra provincia,1.566 €/m2,"0,002","0,009","0,041",1.935 €/m2 jun 2007,"- 19,1 %",2021
Pontevedra,1.699 €/m2,"0,016","0,03","0,053",2.154 €/m2 mayo 2025,"- 21,1 %",2021
La Rioja,1.265 €/m2,"0,009","0,027","0,021",1.652 €/m2 ene 2008,"- 23,4 %",2021
La Rioja,1.265 €/m2,"0,009","0,027","0,021",1.652 €/m2 ene 2008,"- 23,4 %",2021
Logroño,1.572 €/m2,"0,001","0,01","- 0,2 %",1.993 €/m2 abr 2011,"- 21,1 %",2021
Madrid Comunidad,2.897 €/m2,"0,007","0,006","0,044",4.234 €/m2 mayo 2025,"- 31,6 %",2021
Madrid provincia,2.897 €/m2,"0,007","0,006","0,044",4.234 €/m2 mayo 2025,"- 31,6 %",2021
Madrid,3.652 €/m2,"0,01","0,0 %","0,015",5.573 €/m2 mayo 2025,"- 34,5 %",2021
Melilla,1.842 €/m2,"0,004","0,014","0,036",2.073 €/m2 mayo 2025,"- 11,1 %",2021
Melilla provincia,1.842 €/m2,"0,004","0,014","0,036",2.073 €/m2 mayo 2025,"- 11,1 %",2021
Melilla,1.842 €/m2,"0,004","0,014","0,036",2.073 €/m2 mayo 2025,"- 11,1 %",2021
Murcia Región,1.063 €/m2,"- 0,4 %","- 0,1 %","0,014",1.786 €/m2 sep 2006,"- 40,5 %",2021
Murcia provincia,1.063 €/m2,"- 0,4 %","- 0,1 %","0,014",1.786 €/m2 sep 2006,"- 40,5 %",2021
Murcia,1.075 €/m2,"- 0,1 %","0,013","0,002",1.757 €/m2 sep 2007,"- 38,8 %",2021
Navarra,1.484 €/m2,"0,01","0,034","0,023",1.870 €/m2 oct 2007,"- 20,7 %",2021
Navarra,1.484 €/m2,"0,01","0,034","0,023",1.870 €/m2 oct 2007,"- 20,7 %",2021
Pamplona/Iruña,2.364 €/m2,"0,011","0,034","0,055",2.827 €/m2 dic 2024,"- 16,4 %",2021
Andalucía,1.660 €/m2,"0,006","0,005","0,005",2.468 €/m2 mayo 2025,"- 32,7 %",2020
Almería provincia,1.083 €/m2,"0,006","0,012","- 1,0 %",1.868 €/m2 jul 2006,"- 42,0 %",2020
Almería,1.195 €/m2,"- 0,5 %","0,006","0,015",2.257 €/m2 sep 2008,"- 47,0 %",2020
Cádiz provincia,1.523 €/m2,"0,002","0,007","0,008",2.272 €/m2 abr 2007,"- 33,0 %",2020
Cádiz,2.312 €/m2,"- 0,8 %","- 1,4 %","0,003",3.035 €/m2 dic 2024,"- 23,8 %",2020
Córdoba provincia,1.175 €/m2,"- 0,3 %","- 2,0 %","- 5,4 %",1.801 €/m2 nov 2007,"- 34,7 %",2020
Córdoba,1.395 €/m2,"- 0,4 %","- 0,5 %","- 2,2 %",2.178 €/m2 dic 2007,"- 35,9 %",2020
Granada provincia,1.201 €/m2,"0,004","0,016","- 0,7 %",1.782 €/m2 mayo 2007,"- 32,6 %",2020
Granada,1.722 €/m2,"0,003","0,004","- 0,4 %",2.422 €/m2 mayo 2025,"- 28,9 %",2020
Huelva provincia,1.255 €/m2,"0,0 %","0,008","0,016",1.919 €/m2 sep 2007,"- 34,6 %",2020
Huelva,1.107 €/m2,"- 1,0 %","- 0,5 %","0,003",1.678 €/m2 mayo 2008,"- 34,0 %",2020
Jaén provincia,850 €/m2,"0,001","0,002","- 0,8 %",1.320 €/m2 sep 2007,"- 35,6 %",2020
Jaén,1.158 €/m2,"0,002","0,007","0,016",1.672 €/m2 oct 2008,"- 30,8 %",2020
Málaga provincia,2.268 €/m2,"0,004","0,013","0,035",3.718 €/m2 mayo 2025,"- 39,0 %",2020
Málaga,2.103 €/m2,"- 0,2 %","- 0,4 %","0,034",3.427 €/m2 mayo 2025,"- 38,6 %",2020
Sevilla provincia,1.406 €/m2,"0,003","0,005","- 0,3 %",1.970 €/m2 mar 2008,"- 28,6 %",2020
Sevilla,1.995 €/m2,"0,007","- 1,9 %","- 1,2 %",2.646 €/m2 sep 2007,"- 24,6 %",2020
Aragón,1.318 €/m2,"- 0,5 %","0,01","- 0,2 %",2.008 €/m2 mar 2007,"- 34,4 %",2020
Huesca provincia,1.396 €/m2,"- 1,4 %","- 0,1 %","- 0,3 %",2.246 €/m2 ago 2007,"- 37,9 %",2020
Huesca,1.389 €/m2,"- 0,1 %","0,098","0,058",1.738 €/m2 mar 2011,"- 20,0 %",2020
Teruel provincia,901 €/m2,"- 0,9 %","0,005","0,006",1.118 €/m2 jun 2008,"- 19,4 %",2020
Teruel,1.139 €/m2,"- 0,9 %","- 1,6 %","- 0,9 %",1.660 €/m2 nov 2010,"- 31,4 %",2020
Zaragoza provincia,1.336 €/m2,"0,0 %","0,017","- 0,2 %",2.135 €/m2 mayo 2007,"- 37,4 %",2020
Zaragoza,1.601 €/m2,"- 0,2 %","0,002","- 0,7 %",2.787 €/m2 dic 2007,"- 42,6 %",2020
Asturias,1.346 €/m2,"- 0,1 %","- 0,4 %","0,007",1.867 €/m2 abr 2008,"- 27,9 %",2020
Asturias,1.346 €/m2,"- 0,1 %","- 0,4 %","0,007",1.867 €/m2 abr 2008,"- 27,9 %",2020
Oviedo,1.537 €/m2,"- 0,4 %","- 0,7 %","0,02",2.179 €/m2 ene 2009,"- 29,5 %",2020
Baleares,3.091 €/m2,"- 0,4 %","0,011","0,016",4.905 €/m2 mayo 2025,"- 37,0 %",2020
Baleares,3.091 €/m2,"- 0,4 %","0,011","0,016",4.905 €/m2 mayo 2025,"- 37,0 %",2020
Palma de Mallorca,2.934 €/m2,"- 0,4 %","- 0,4 %","- 1,1 %",4.772 €/m2 mayo 2025,"- 38,5 %",2020
Canarias,1.867 €/m2,"0,005","0,017","0,01",3.039 €/m2 mayo 2025,"- 38,6 %",2020
Las Palmas,1.940 €/m2,"0,002","0,013","0,016",2.778 €/m2 mayo 2025,"- 30,2 %",2020
Las Palmas de Gran Canaria,2.067 €/m2,"0,006","0,033","0,03",2.507 €/m2 mayo 2025,"- 17,5 %",2020
Santa Cruz de Tenerife provincia,1.806 €/m2,"0,008","0,021","0,005",3.224 €/m2 mayo 2025,"- 44,0 %",2020
Santa Cruz de Tenerife,1.524 €/m2,"- 0,8 %","- 1,9 %","0,041",2.214 €/m2 abr 2025,"- 31,2 %",2020
Cantabria,1.448 €/m2,"- 0,4 %","0,004","0,001",2.010 €/m2 feb 2008,"- 27,9 %",2020
Cantabria,1.448 €/m2,"- 0,4 %","0,004","0,001",2.010 €/m2 feb 2008,"- 27,9 %",2020
Santander,1.856 €/m2,"- 1,2 %","- 0,6 %","0,03",2.727 €/m2 mayo 2025,"- 31,9 %",2020
Castilla y León,1.135 €/m2,"0,003","0,01","- 1,2 %",1.481 €/m2 jun 2011,"- 23,4 %",2020
Ávila provincia,846 €/m2,"- 0,6 %","- 0,8 %","- 0,8 %",1.266 €/m2 mar 2008,"- 33,2 %",2020
Ávila,1.099 €/m2,"- 0,8 %","- 2,2 %","0,047",1.744 €/m2 jul 2008,"- 37,0 %",2020
Burgos provincia,1.183 €/m2,"0,007","0,013","- 0,1 %",1.655 €/m2 sep 2011,"- 28,5 %",2020
Burgos,1.557 €/m2,"- 0,1 %","- 1,1 %","- 1,4 %",2.176 €/m2 nov 2008,"- 28,4 %",2020
León provincia,985 €/m2,"- 0,5 %","- 0,6 %","- 1,4 %",1.351 €/m2 jun 2011,"- 27,1 %",2020
León,1.341 €/m2,"- 0,8 %","- 1,3 %","0,001",1.898 €/m2 feb 2011,"- 29,4 %",2020
Palencia provincia,1.137 €/m2,"0,006","0,008","- 3,8 %",1.335 €/m2 feb 2012,"- 14,8 %",2020
Palencia,1.348 €/m2,"0,0 %","- 0,5 %","- 4,5 %",1.724 €/m2 ene 2009,"- 21,8 %",2020
Salamanca provincia,1.302 €/m2,"0,005","0,01","- 2,9 %",1.719 €/m2 mar 2011,"- 24,2 %",2020
Salamanca,1.660 €/m2,"0,002","0,0 %","0,004",2.480 €/m2 mar 2008,"- 33,1 %",2020
Segovia provincia,1.089 €/m2,"- 0,1 %","- 0,1 %","0,004",1.601 €/m2 sep 2007,"- 32,0 %",2020
Segovia,1.546 €/m2,"0,006","0,027","0,045",2.252 €/m2 mar 2009,"- 31,3 %",2020
Soria provincia,1.002 €/m2,"- 0,1 %","0,005","0,035",1.372 €/m2 nov 2010,"- 27,0 %",2020
Soria,1.295 €/m2,"- 0,4 %","0,004","0,053",1.913 €/m2 nov 2010,"- 32,3 %",2020
Valladolid provincia,1.277 €/m2,"0,007","0,023","0,022",1.776 €/m2 oct 2007,"- 28,1 %",2020
Valladolid,1.527 €/m2,"- 0,1 %","0,006","0,022",2.117 €/m2 oct 2007,"- 27,8 %",2020
Zamora provincia,980 €/m2,"- 0,3 %","0,01","- 1,3 %",1.368 €/m2 mar 2011,"- 28,3 %",2020
Zamora,1.172 €/m2,"- 1,3 %","- 1,5 %","- 1,8 %",1.607 €/m2 mar 2011,"- 27,1 %",2020
Castilla-La Mancha,868 €/m2,"0,008","0,014","- 0,8 %",1.424 €/m2 mayo 2007,"- 39,1 %",2020
Albacete provincia,1.069 €/m2,"0,007","- 0,2 %","- 1,6 %",1.570 €/m2 abr 2008,"- 31,9 %",2020
Albacete,1.333 €/m2,"0,005","0,0 %","- 0,1 %",1.852 €/m2 jun 2008,"- 28,0 %",2020
Ciudad Real provincia,771 €/m2,"0,001","- 1,1 %","- 4,5 %",1.391 €/m2 jun 2007,"- 44,6 %",2020
Ciudad Real,1.133 €/m2,"- 0,2 %","- 0,7 %","- 3,1 %",1.877 €/m2 abr 2008,"- 39,6 %",2020
Cuenca provincia,780 €/m2,"0,028","0,039","0,009",1.109 €/m2 ago 2008,"- 29,7 %",2020
Cuenca,1.142 €/m2,"0,008","- 0,3 %","0,041",1.674 €/m2 mar 2010,"- 31,8 %",2020
Guadalajara provincia,1.058 €/m2,"0,017","0,026","0,014",1.661 €/m2 jun 2007,"- 36,3 %",2020
Guadalajara,1.345 €/m2,"- 0,3 %","- 0,9 %","- 2,5 %",2.137 €/m2 mayo 2008,"- 37,1 %",2020
Toledo provincia,772 €/m2,"- 0,5 %","0,004","- 1,1 %",1.465 €/m2 nov 2006,"- 47,3 %",2020
Toledo,1.355 €/m2,"- 0,4 %","- 1,9 %","- 2,1 %",2.067 €/m2 mayo 2008,"- 34,5 %",2020
Cataluña,2.244 €/m2,"0,007","0,026","0,015",2.677 €/m2 jun 2007,"- 16,2 %",2020
Barcelona provincia,2.647 €/m2,"0,003","0,009","0,015",2.914 €/m2 mayo 2025,"- 9,2 %",2020
Barcelona,4.018 €/m2,"- 0,7 %","- 1,4 %","- 2,8 %",4.895 €/m2 mayo 2025,"- 17,9 %",2020
Girona provincia,2.045 €/m2,"- 0,1 %","- 0,1 %","0,015",2.522 €/m2 jun 2007,"- 18,9 %",2020
Girona,2.117 €/m2,"- 1,5 %","- 4,9 %","- 4,2 %",2.639 €/m2 ago 2024,"- 19,8 %",2020
Lleida provincia,1.199 €/m2,"- 0,7 %","0,006","0,008",2.076 €/m2 ago 2007,"- 42,3 %",2020
Lleida,1.026 €/m2,"- 2,0 %","- 0,4 %","- 2,6 %",1.742 €/m2 abr 2009,"- 41,1 %",2020
Tarragona provincia,1.327 €/m2,"0,004","0,005","- 2,4 %",2.120 €/m2 oct 2006,"- 37,4 %",2020
Tarragona,1.675 €/m2,"- 2,0 %","- 2,9 %","- 3,6 %",2.550 €/m2 oct 2008,"- 34,3 %",2020
Ceuta,2.246 €/m2,"0,004","0,011","0,078",2.393 €/m2 mar 2025,"- 6,1 %",2020
