Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;;Entre 46 y 75 m2;6 personas;2017;35,7
Total Nacional;;Entre 46 y 75 m2;6 personas;2016;31,6
Total Nacional;;Entre 46 y 75 m2;6 personas;2015;33,2
Total Nacional;;Entre 46 y 75 m2;6 personas;2014;36,8
Total Nacional;;Entre 46 y 75 m2;6 personas;2013;43,3
Total Nacional;;Entre 46 y 75 m2;7 personas;2020;18,0
Total Nacional;;Entre 46 y 75 m2;7 personas;2019;16,9
Total Nacional;;Entre 46 y 75 m2;7 personas;2018;8,1
Total Nacional;;Entre 46 y 75 m2;7 personas;2017;8,9
Total Nacional;;Entre 46 y 75 m2;7 personas;2016;8,4
Total Nacional;;Entre 46 y 75 m2;7 personas;2015;7,3
Total Nacional;;Entre 46 y 75 m2;7 personas;2014;8,1
Total Nacional;;Entre 46 y 75 m2;7 personas;2013;11,1
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2020;4,9
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2019;10,5
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2018;2,7
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2017;1,4
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2016;3,1
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2015;4,6
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2014;3,0
Total Nacional;;Entre 46 y 75 m2;8 personas o más;2013;4,0
Total Nacional;;Entre 76 y 105 m2;Total;2020;7.562,8
Total Nacional;;Entre 76 y 105 m2;Total;2019;7.572,8
Total Nacional;;Entre 76 y 105 m2;Total;2018;7.627,6
Total Nacional;;Entre 76 y 105 m2;Total;2017;7.643,8
Total Nacional;;Entre 76 y 105 m2;Total;2016;7.636,6
Total Nacional;;Entre 76 y 105 m2;Total;2015;7.403,5
Total Nacional;;Entre 76 y 105 m2;Total;2014;7.465,1
Total Nacional;;Entre 76 y 105 m2;Total;2013;7.332,7
Total Nacional;;Entre 76 y 105 m2;1 persona;2020;1.788,4
Total Nacional;;Entre 76 y 105 m2;1 persona;2019;1.782,0
Total Nacional;;Entre 76 y 105 m2;1 persona;2018;1.784,1
Total Nacional;;Entre 76 y 105 m2;1 persona;2017;1.716,4
Total Nacional;;Entre 76 y 105 m2;1 persona;2016;1.740,3
Total Nacional;;Entre 76 y 105 m2;1 persona;2015;1.674,8
Total Nacional;;Entre 76 y 105 m2;1 persona;2014;1.646,3
Total Nacional;;Entre 76 y 105 m2;1 persona;2013;1.579,3
Total Nacional;;Entre 76 y 105 m2;2 personas;2020;2.312,4
Total Nacional;;Entre 76 y 105 m2;2 personas;2019;2.339,7
Total Nacional;;Entre 76 y 105 m2;2 personas;2018;2.291,9
Total Nacional;;Entre 76 y 105 m2;2 personas;2017;2.308,5
Total Nacional;;Entre 76 y 105 m2;2 personas;2016;2.266,5
Total Nacional;;Entre 76 y 105 m2;2 personas;2015;2.246,5
Total Nacional;;Entre 76 y 105 m2;2 personas;2014;2.280,0
Total Nacional;;Entre 76 y 105 m2;2 personas;2013;2.205,5
Total Nacional;;Entre 76 y 105 m2;3 personas;2020;1.669,0
Total Nacional;;Entre 76 y 105 m2;3 personas;2019;1.651,6
Total Nacional;;Entre 76 y 105 m2;3 personas;2018;1.686,4
Total Nacional;;Entre 76 y 105 m2;3 personas;2017;1.719,1
Total Nacional;;Entre 76 y 105 m2;3 personas;2016;1.716,7
Total Nacional;;Entre 76 y 105 m2;3 personas;2015;1.668,9
Total Nacional;;Entre 76 y 105 m2;3 personas;2014;1.695,2
Total Nacional;;Entre 76 y 105 m2;3 personas;2013;1.634,4
Total Nacional;;Entre 76 y 105 m2;4 personas;2020;1.382,3
Total Nacional;;Entre 76 y 105 m2;4 personas;2019;1.382,6
Total Nacional;;Entre 76 y 105 m2;4 personas;2018;1.452,9
Total Nacional;;Entre 76 y 105 m2;4 personas;2017;1.496,5
Total Nacional;;Entre 76 y 105 m2;4 personas;2016;1.513,9
Total Nacional;;Entre 76 y 105 m2;4 personas;2015;1.413,3
Total Nacional;;Entre 76 y 105 m2;4 personas;2014;1.447,1
Total Nacional;;Entre 76 y 105 m2;4 personas;2013;1.481,5
Total Nacional;;Entre 76 y 105 m2;5 personas;2020;262,0
Total Nacional;;Entre 76 y 105 m2;5 personas;2019;281,7
Total Nacional;;Entre 76 y 105 m2;5 personas;2018;318,0
Total Nacional;;Entre 76 y 105 m2;5 personas;2017;330,4
Total Nacional;;Entre 76 y 105 m2;5 personas;2016;314,4
Total Nacional;;Entre 76 y 105 m2;5 personas;2015;317,5
Total Nacional;;Entre 76 y 105 m2;5 personas;2014;304,3
Total Nacional;;Entre 76 y 105 m2;5 personas;2013;334,0
Total Nacional;;Entre 76 y 105 m2;6 personas;2020;94,1
Total Nacional;;Entre 76 y 105 m2;6 personas;2019;88,3
Total Nacional;;Entre 76 y 105 m2;6 personas;2018;72,3
Total Nacional;;Entre 76 y 105 m2;6 personas;2017;57,5
Total Nacional;;Entre 76 y 105 m2;6 personas;2016;66,4
Total Nacional;;Entre 76 y 105 m2;6 personas;2015;60,8
Total Nacional;;Entre 76 y 105 m2;6 personas;2014;66,0
Total Nacional;;Entre 76 y 105 m2;6 personas;2013;70,6
Total Nacional;;Entre 76 y 105 m2;7 personas;2020;34,8
Total Nacional;;Entre 76 y 105 m2;7 personas;2019;32,0
Total Nacional;;Entre 76 y 105 m2;7 personas;2018;16,4
Total Nacional;;Entre 76 y 105 m2;7 personas;2017;11,2
Total Nacional;;Entre 76 y 105 m2;7 personas;2016;11,8
Total Nacional;;Entre 76 y 105 m2;7 personas;2015;13,9
Total Nacional;;Entre 76 y 105 m2;7 personas;2014;17,8
Total Nacional;;Entre 76 y 105 m2;7 personas;2013;19,1
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2020;19,7
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2019;14,9
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2018;5,7
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2017;4,2
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2016;6,6
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2015;7,7
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2014;8,6
Total Nacional;;Entre 76 y 105 m2;8 personas o más;2013;8,4
Total Nacional;;Entre 106 y 150 m2;Total;2020;3.386,3
Total Nacional;;Entre 106 y 150 m2;Total;2019;3.398,1
Total Nacional;;Entre 106 y 150 m2;Total;2018;3.388,3
Total Nacional;;Entre 106 y 150 m2;Total;2017;3.277,8
Total Nacional;;Entre 106 y 150 m2;Total;2016;3.126,3
Total Nacional;;Entre 106 y 150 m2;Total;2015;3.206,3
Total Nacional;;Entre 106 y 150 m2;Total;2014;3.185,3
Total Nacional;;Entre 106 y 150 m2;Total;2013;3.082,8
Total Nacional;;Entre 106 y 150 m2;1 persona;2020;661,8
Total Nacional;;Entre 106 y 150 m2;1 persona;2019;644,4
Total Nacional;;Entre 106 y 150 m2;1 persona;2018;618,2
Total Nacional;;Entre 106 y 150 m2;1 persona;2017;621,6
Total Nacional;;Entre 106 y 150 m2;1 persona;2016;559,4
Total Nacional;;Entre 106 y 150 m2;1 persona;2015;578,0
Total Nacional;;Entre 106 y 150 m2;1 persona;2014;563,9
Total Nacional;;Entre 106 y 150 m2;1 persona;2013;521,4
Total Nacional;;Entre 106 y 150 m2;2 personas;2020;1.010,9
Total Nacional;;Entre 106 y 150 m2;2 personas;2019;1.034,9
Total Nacional;;Entre 106 y 150 m2;2 personas;2018;1.055,7
Total Nacional;;Entre 106 y 150 m2;2 personas;2017;984,9
Total Nacional;;Entre 106 y 150 m2;2 personas;2016;951,0
Total Nacional;;Entre 106 y 150 m2;2 personas;2015;950,9
Total Nacional;;Entre 106 y 150 m2;2 personas;2014;964,6
Total Nacional;;Entre 106 y 150 m2;2 personas;2013;904,8
Total Nacional;;Entre 106 y 150 m2;3 personas;2020;754,0
Total Nacional;;Entre 106 y 150 m2;3 personas;2019;737,9
Total Nacional;;Entre 106 y 150 m2;3 personas;2018;747,4
Total Nacional;;Entre 106 y 150 m2;3 personas;2017;732,3
Total Nacional;;Entre 106 y 150 m2;3 personas;2016;707,6
Total Nacional;;Entre 106 y 150 m2;3 personas;2015;728,8
Total Nacional;;Entre 106 y 150 m2;3 personas;2014;690,0
Total Nacional;;Entre 106 y 150 m2;3 personas;2013;723,9
Total Nacional;;Entre 106 y 150 m2;4 personas;2020;720,5
Total Nacional;;Entre 106 y 150 m2;4 personas;2019;735,4
Total Nacional;;Entre 106 y 150 m2;4 personas;2018;723,3
Total Nacional;;Entre 106 y 150 m2;4 personas;2017;699,1
Total Nacional;;Entre 106 y 150 m2;4 personas;2016;666,2
Total Nacional;;Entre 106 y 150 m2;4 personas;2015;704,6
Total Nacional;;Entre 106 y 150 m2;4 personas;2014;710,0
Total Nacional;;Entre 106 y 150 m2;4 personas;2013;680,2
Total Nacional;;Entre 106 y 150 m2;5 personas;2020;148,4
Total Nacional;;Entre 106 y 150 m2;5 personas;2019;165,3
Total Nacional;;Entre 106 y 150 m2;5 personas;2018;187,8
Total Nacional;;Entre 106 y 150 m2;5 personas;2017;188,7
Total Nacional;;Entre 106 y 150 m2;5 personas;2016;193,8
Total Nacional;;Entre 106 y 150 m2;5 personas;2015;185,0
Total Nacional;;Entre 106 y 150 m2;5 personas;2014;195,5
Total Nacional;;Entre 106 y 150 m2;5 personas;2013;194,9
Total Nacional;;Entre 106 y 150 m2;6 personas;2020;57,7
Total Nacional;;Entre 106 y 150 m2;6 personas;2019;52,7
Total Nacional;;Entre 106 y 150 m2;6 personas;2018;40,8
Total Nacional;;Entre 106 y 150 m2;6 personas;2017;34,8
Total Nacional;;Entre 106 y 150 m2;6 personas;2016;34,1
Total Nacional;;Entre 106 y 150 m2;6 personas;2015;47,7
Total Nacional;;Entre 106 y 150 m2;6 personas;2014;45,8
Total Nacional;;Entre 106 y 150 m2;6 personas;2013;45,9
Total Nacional;;Entre 106 y 150 m2;7 personas;2020;20,7
Total Nacional;;Entre 106 y 150 m2;7 personas;2019;13,9
Total Nacional;;Entre 106 y 150 m2;7 personas;2018;10,2
