Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;Extremadura;Entre 76 y 105 m2;5 personas;2015;7,7
Total Nacional;Extremadura;Entre 76 y 105 m2;5 personas;2014;8,1
Total Nacional;Extremadura;Entre 76 y 105 m2;5 personas;2013;8,2
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2020;0,0
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2019;0,3
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2018;1,2
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2017;0,7
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2016;1,7
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2015;1,9
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2014;1,6
Total Nacional;Extremadura;Entre 76 y 105 m2;6 personas;2013;1,2
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2020;..
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2019;0,0
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2018;0,8
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2017;0,1
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2016;0,5
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2015;0,3
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2014;0,7
Total Nacional;Extremadura;Entre 76 y 105 m2;7 personas;2013;0,5
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2020;0,1
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2019;..
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2018;..
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2017;..
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2016;0,0
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2015;0,1
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2014;..
Total Nacional;Extremadura;Entre 76 y 105 m2;8 personas o más;2013;..
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2020;109,7
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2019;106,8
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2018;109,0
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2017;108,7
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2016;96,2
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2015;95,1
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2014;96,4
Total Nacional;Extremadura;Entre 106 y 150 m2;Total;2013;92,9
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2020;24,4
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2019;23,2
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2018;21,8
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2017;23,6
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2016;20,4
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2015;19,7
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2014;17,4
Total Nacional;Extremadura;Entre 106 y 150 m2;1 persona;2013;14,3
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2020;29,7
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2019;32,4
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2018;36,1
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2017;27,5
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2016;30,1
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2015;25,5
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2014;30,6
Total Nacional;Extremadura;Entre 106 y 150 m2;2 personas;2013;29,3
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2020;25,8
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2019;19,8
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2018;23,9
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2017;25,9
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2016;20,5
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2015;21,7
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2014;22,8
Total Nacional;Extremadura;Entre 106 y 150 m2;3 personas;2013;21,1
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2020;24,3
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2019;24,5
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2018;21,3
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2017;27,2
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2016;21,7
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2015;22,9
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2014;21,2
Total Nacional;Extremadura;Entre 106 y 150 m2;4 personas;2013;22,9
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2020;5,4
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2019;6,6
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2018;5,8
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2017;3,5
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2016;3,0
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2015;4,8
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2014;4,1
Total Nacional;Extremadura;Entre 106 y 150 m2;5 personas;2013;4,7
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2020;0,1
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2019;0,3
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2018;0,2
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2017;1,0
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2016;0,3
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2015;0,4
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2014;0,3
Total Nacional;Extremadura;Entre 106 y 150 m2;6 personas;2013;0,6
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2020;..
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2019;..
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2018;..
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2017;..
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2016;0,1
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2015;0,0
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2014;..
Total Nacional;Extremadura;Entre 106 y 150 m2;7 personas;2013;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2020;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2019;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2018;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2017;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2016;0,0
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2015;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2014;..
Total Nacional;Extremadura;Entre 106 y 150 m2;8 personas o más;2013;..
Total Nacional;Extremadura;Más de 150 m2;Total;2020;63,8
Total Nacional;Extremadura;Más de 150 m2;Total;2019;54,7
Total Nacional;Extremadura;Más de 150 m2;Total;2018;50,8
Total Nacional;Extremadura;Más de 150 m2;Total;2017;47,8
Total Nacional;Extremadura;Más de 150 m2;Total;2016;55,2
Total Nacional;Extremadura;Más de 150 m2;Total;2015;52,2
Total Nacional;Extremadura;Más de 150 m2;Total;2014;53,2
Total Nacional;Extremadura;Más de 150 m2;Total;2013;50,6
Total Nacional;Extremadura;Más de 150 m2;1 persona;2020;10,4
Total Nacional;Extremadura;Más de 150 m2;1 persona;2019;11,7
Total Nacional;Extremadura;Más de 150 m2;1 persona;2018;13,2
Total Nacional;Extremadura;Más de 150 m2;1 persona;2017;8,8
Total Nacional;Extremadura;Más de 150 m2;1 persona;2016;11,6
Total Nacional;Extremadura;Más de 150 m2;1 persona;2015;9,5
Total Nacional;Extremadura;Más de 150 m2;1 persona;2014;9,4
Total Nacional;Extremadura;Más de 150 m2;1 persona;2013;8,6
Total Nacional;Extremadura;Más de 150 m2;2 personas;2020;22,4
Total Nacional;Extremadura;Más de 150 m2;2 personas;2019;14,7
Total Nacional;Extremadura;Más de 150 m2;2 personas;2018;12,9
Total Nacional;Extremadura;Más de 150 m2;2 personas;2017;15,5
Total Nacional;Extremadura;Más de 150 m2;2 personas;2016;18,2
Total Nacional;Extremadura;Más de 150 m2;2 personas;2015;17,0
Total Nacional;Extremadura;Más de 150 m2;2 personas;2014;15,7
Total Nacional;Extremadura;Más de 150 m2;2 personas;2013;16,1
Total Nacional;Extremadura;Más de 150 m2;3 personas;2020;12,3
Total Nacional;Extremadura;Más de 150 m2;3 personas;2019;13,8
Total Nacional;Extremadura;Más de 150 m2;3 personas;2018;10,8
Total Nacional;Extremadura;Más de 150 m2;3 personas;2017;9,8
Total Nacional;Extremadura;Más de 150 m2;3 personas;2016;10,3
Total Nacional;Extremadura;Más de 150 m2;3 personas;2015;10,4
Total Nacional;Extremadura;Más de 150 m2;3 personas;2014;10,3
Total Nacional;Extremadura;Más de 150 m2;3 personas;2013;9,8
Total Nacional;Extremadura;Más de 150 m2;4 personas;2020;15,8
Total Nacional;Extremadura;Más de 150 m2;4 personas;2019;11,3
Total Nacional;Extremadura;Más de 150 m2;4 personas;2018;12,0
Total Nacional;Extremadura;Más de 150 m2;4 personas;2017;9,9
Total Nacional;Extremadura;Más de 150 m2;4 personas;2016;11,2
Total Nacional;Extremadura;Más de 150 m2;4 personas;2015;11,5
Total Nacional;Extremadura;Más de 150 m2;4 personas;2014;13,0
Total Nacional;Extremadura;Más de 150 m2;4 personas;2013;11,1
Total Nacional;Extremadura;Más de 150 m2;5 personas;2020;2,8
Total Nacional;Extremadura;Más de 150 m2;5 personas;2019;3,0
Total Nacional;Extremadura;Más de 150 m2;5 personas;2018;1,5
Total Nacional;Extremadura;Más de 150 m2;5 personas;2017;2,7
Total Nacional;Extremadura;Más de 150 m2;5 personas;2016;3,2
Total Nacional;Extremadura;Más de 150 m2;5 personas;2015;3,5
Total Nacional;Extremadura;Más de 150 m2;5 personas;2014;3,6
Total Nacional;Extremadura;Más de 150 m2;5 personas;2013;3,0
Total Nacional;Extremadura;Más de 150 m2;6 personas;2020;..
Total Nacional;Extremadura;Más de 150 m2;6 personas;2019;0,1
Total Nacional;Extremadura;Más de 150 m2;6 personas;2018;0,5
Total Nacional;Extremadura;Más de 150 m2;6 personas;2017;0,8
Total Nacional;Extremadura;Más de 150 m2;6 personas;2016;0,7
Total Nacional;Extremadura;Más de 150 m2;6 personas;2015;0,2
Total Nacional;Extremadura;Más de 150 m2;6 personas;2014;1,0
Total Nacional;Extremadura;Más de 150 m2;6 personas;2013;1,8
Total Nacional;Extremadura;Más de 150 m2;7 personas;2020;..
Total Nacional;Extremadura;Más de 150 m2;7 personas;2019;..
Total Nacional;Extremadura;Más de 150 m2;7 personas;2018;..
Total Nacional;Extremadura;Más de 150 m2;7 personas;2017;0,2
Total Nacional;Extremadura;Más de 150 m2;7 personas;2016;..
Total Nacional;Extremadura;Más de 150 m2;7 personas;2015;0,1
Total Nacional;Extremadura;Más de 150 m2;7 personas;2014;0,1
Total Nacional;Extremadura;Más de 150 m2;7 personas;2013;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2020;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2019;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2018;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2017;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2016;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2015;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2014;..
Total Nacional;Extremadura;Más de 150 m2;8 personas o más;2013;0,2
Total Nacional;Galicia;Total;Total;2020;1.096,2
Total Nacional;Galicia;Total;Total;2019;1.089,7
Total Nacional;Galicia;Total;Total;2018;1.084,3
Total Nacional;Galicia;Total;Total;2017;1.082,6
Total Nacional;Galicia;Total;Total;2016;1.081,6
Total Nacional;Galicia;Total;Total;2015;1.080,0
Total Nacional;Galicia;Total;Total;2014;1.075,8
Total Nacional;Galicia;Total;Total;2013;1.070,5
Total Nacional;Galicia;Total;1 persona;2020;290,5
Total Nacional;Galicia;Total;1 persona;2019;283,6
Total Nacional;Galicia;Total;1 persona;2018;278,6
Total Nacional;Galicia;Total;1 persona;2017;274,1
Total Nacional;Galicia;Total;1 persona;2016;270,9
Total Nacional;Galicia;Total;1 persona;2015;266,1
Total Nacional;Galicia;Total;1 persona;2014;259,0
Total Nacional;Galicia;Total;1 persona;2013;250,7
Total Nacional;Galicia;Total;2 personas;2020;340,7
Total Nacional;Galicia;Total;2 personas;2019;338,5
Total Nacional;Galicia;Total;2 personas;2018;337,2
Total Nacional;Galicia;Total;2 personas;2017;336,6
Total Nacional;Galicia;Total;2 personas;2016;336,6
Total Nacional;Galicia;Total;2 personas;2015;336,1
Total Nacional;Galicia;Total;2 personas;2014;333,6
Total Nacional;Galicia;Total;2 personas;2013;329,3
Total Nacional;Galicia;Total;3 personas;2020;239,7
Total Nacional;Galicia;Total;3 personas;2019;240,7
Total Nacional;Galicia;Total;3 personas;2018;240,8
Total Nacional;Galicia;Total;3 personas;2017;241,8
Total Nacional;Galicia;Total;3 personas;2016;242,2
Total Nacional;Galicia;Total;3 personas;2015;242,7
Total Nacional;Galicia;Total;3 personas;2014;243,3
Total Nacional;Galicia;Total;3 personas;2013;244,5
Total Nacional;Galicia;Total;4 personas;2020;163,7
Total Nacional;Galicia;Total;4 personas;2019;164,6
Total Nacional;Galicia;Total;4 personas;2018;164,3
Total Nacional;Galicia;Total;4 personas;2017;165,3
Total Nacional;Galicia;Total;4 personas;2016;165,7
Total Nacional;Galicia;Total;4 personas;2015;166,9
Total Nacional;Galicia;Total;4 personas;2014;168,9
Total Nacional;Galicia;Total;4 personas;2013;171,3
Total Nacional;Galicia;Total;5 personas;2020;45,9
Total Nacional;Galicia;Total;5 personas;2019;44,5
Total Nacional;Galicia;Total;5 personas;2018;41,9
Total Nacional;Galicia;Total;5 personas;2017;47,0
Total Nacional;Galicia;Total;5 personas;2016;44,6
Total Nacional;Galicia;Total;5 personas;2015;48,5
Total Nacional;Galicia;Total;5 personas;2014;51,1
Total Nacional;Galicia;Total;5 personas;2013;51,1
Total Nacional;Galicia;Total;6 personas;2020;11,3
Total Nacional;Galicia;Total;6 personas;2019;13,8
Total Nacional;Galicia;Total;6 personas;2018;17,7
Total Nacional;Galicia;Total;6 personas;2017;13,9
Total Nacional;Galicia;Total;6 personas;2016;18,7
Total Nacional;Galicia;Total;6 personas;2015;14,3
Total Nacional;Galicia;Total;6 personas;2014;13,9
Total Nacional;Galicia;Total;6 personas;2013;18,4
Total Nacional;Galicia;Total;7 personas;2020;3,6
Total Nacional;Galicia;Total;7 personas;2019;3,2
Total Nacional;Galicia;Total;7 personas;2018;3,1
Total Nacional;Galicia;Total;7 personas;2017;3,1
Total Nacional;Galicia;Total;7 personas;2016;1,2
Total Nacional;Galicia;Total;7 personas;2015;2,6
Total Nacional;Galicia;Total;7 personas;2014;4,8
Total Nacional;Galicia;Total;7 personas;2013;3,9
Total Nacional;Galicia;Total;8 personas o más;2020;0,7
Total Nacional;Galicia;Total;8 personas o más;2019;0,6
Total Nacional;Galicia;Total;8 personas o más;2018;0,6
Total Nacional;Galicia;Total;8 personas o más;2017;0,8
Total Nacional;Galicia;Total;8 personas o más;2016;1,7
Total Nacional;Galicia;Total;8 personas o más;2015;2,9
Total Nacional;Galicia;Total;8 personas o más;2014;1,3
Total Nacional;Galicia;Total;8 personas o más;2013;1,2
Total Nacional;Galicia;Menos de 46 m2;Total;2020;19,4
Total Nacional;Galicia;Menos de 46 m2;Total;2019;23,7
Total Nacional;Galicia;Menos de 46 m2;Total;2018;20,3
Total Nacional;Galicia;Menos de 46 m2;Total;2017;25,8
Total Nacional;Galicia;Menos de 46 m2;Total;2016;24,8
Total Nacional;Galicia;Menos de 46 m2;Total;2015;18,8
Total Nacional;Galicia;Menos de 46 m2;Total;2014;18,9
Total Nacional;Galicia;Menos de 46 m2;Total;2013;22,3
Total Nacional;Galicia;Menos de 46 m2;1 persona;2020;13,8
Total Nacional;Galicia;Menos de 46 m2;1 persona;2019;14,5
Total Nacional;Galicia;Menos de 46 m2;1 persona;2018;13,1
Total Nacional;Galicia;Menos de 46 m2;1 persona;2017;13,7
Total Nacional;Galicia;Menos de 46 m2;1 persona;2016;15,8
Total Nacional;Galicia;Menos de 46 m2;1 persona;2015;13,5
Total Nacional;Galicia;Menos de 46 m2;1 persona;2014;15,0
Total Nacional;Galicia;Menos de 46 m2;1 persona;2013;13,2
Total Nacional;Galicia;Menos de 46 m2;2 personas;2020;4,6
Total Nacional;Galicia;Menos de 46 m2;2 personas;2019;5,5
Total Nacional;Galicia;Menos de 46 m2;2 personas;2018;4,1
Total Nacional;Galicia;Menos de 46 m2;2 personas;2017;7,8
Total Nacional;Galicia;Menos de 46 m2;2 personas;2016;4,7
Total Nacional;Galicia;Menos de 46 m2;2 personas;2015;4,0
Total Nacional;Galicia;Menos de 46 m2;2 personas;2014;3,1
Total Nacional;Galicia;Menos de 46 m2;2 personas;2013;7,6
Total Nacional;Galicia;Menos de 46 m2;3 personas;2020;0,3
Total Nacional;Galicia;Menos de 46 m2;3 personas;2019;2,4
Total Nacional;Galicia;Menos de 46 m2;3 personas;2018;2,6
Total Nacional;Galicia;Menos de 46 m2;3 personas;2017;2,4
Total Nacional;Galicia;Menos de 46 m2;3 personas;2016;4,3
Total Nacional;Galicia;Menos de 46 m2;3 personas;2015;1,2
Total Nacional;Galicia;Menos de 46 m2;3 personas;2014;..
Total Nacional;Galicia;Menos de 46 m2;3 personas;2013;0,6
Total Nacional;Galicia;Menos de 46 m2;4 personas;2020;0,3
Total Nacional;Galicia;Menos de 46 m2;4 personas;2019;1,0
Total Nacional;Galicia;Menos de 46 m2;4 personas;2018;0,5
Total Nacional;Galicia;Menos de 46 m2;4 personas;2017;0,7
Total Nacional;Galicia;Menos de 46 m2;4 personas;2016;..
Total Nacional;Galicia;Menos de 46 m2;4 personas;2015;..
Total Nacional;Galicia;Menos de 46 m2;4 personas;2014;0,8
Total Nacional;Galicia;Menos de 46 m2;4 personas;2013;..
Total Nacional;Galicia;Menos de 46 m2;5 personas;2020;0,4
Total Nacional;Galicia;Menos de 46 m2;5 personas;2019;0,3
Total Nacional;Galicia;Menos de 46 m2;5 personas;2018;..
Total Nacional;Galicia;Menos de 46 m2;5 personas;2017;1,1
Total Nacional;Galicia;Menos de 46 m2;5 personas;2016;..
Total Nacional;Galicia;Menos de 46 m2;5 personas;2015;0,2
Total Nacional;Galicia;Menos de 46 m2;5 personas;2014;..
Total Nacional;Galicia;Menos de 46 m2;5 personas;2013;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2020;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2019;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2018;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2017;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2016;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2015;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2014;..
Total Nacional;Galicia;Menos de 46 m2;6 personas;2013;0,8
Total Nacional;Galicia;Menos de 46 m2;7 personas;2020;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2019;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2018;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2017;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2016;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2015;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2014;..
Total Nacional;Galicia;Menos de 46 m2;7 personas;2013;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2020;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2019;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2018;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2017;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2016;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2015;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2014;..
Total Nacional;Galicia;Menos de 46 m2;8 personas o más;2013;..
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2020;204,7
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2019;230,0
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2018;213,8
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2017;215,7
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2016;192,9
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2015;221,2
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2014;200,0
Total Nacional;Galicia;Entre 46 y 75 m2;Total;2013;234,7
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2020;80,3
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2019;92,4
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2018;84,8
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2017;84,6
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2016;72,4
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2015;88,2
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2014;71,8
Total Nacional;Galicia;Entre 46 y 75 m2;1 persona;2013;79,2
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2020;60,8
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2019;75,5
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2018;65,1
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2017;68,5
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2016;62,5
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2015;67,8
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2014;60,5
Total Nacional;Galicia;Entre 46 y 75 m2;2 personas;2013;86,4
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2020;41,8
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2019;35,3
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2018;45,6
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2017;35,3
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2016;35,4
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2015;37,1
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2014;46,4
Total Nacional;Galicia;Entre 46 y 75 m2;3 personas;2013;41,4
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2020;18,3
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2019;19,9
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2018;16,1
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2017;21,6
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2016;17,0
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2015;21,5
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2014;16,2
Total Nacional;Galicia;Entre 46 y 75 m2;4 personas;2013;23,8
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2020;3,3
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2019;5,0
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2018;1,9
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2017;3,5
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2016;3,3
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2015;4,6
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2014;3,7
Total Nacional;Galicia;Entre 46 y 75 m2;5 personas;2013;3,3
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2020;..
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2019;1,4
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2018;..
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2017;1,4
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2016;2,3
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2015;1,1
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2014;0,7
Total Nacional;Galicia;Entre 46 y 75 m2;6 personas;2013;0,2
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2020;0,3
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2019;0,5
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2018;0,1
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2017;0,6
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2016;..
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2015;0,9
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2014;0,5
Total Nacional;Galicia;Entre 46 y 75 m2;7 personas;2013;0,2
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2020;..
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2019;..
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2018;0,2
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2017;0,1
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2016;..
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2015;..
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2014;0,1
Total Nacional;Galicia;Entre 46 y 75 m2;8 personas o más;2013;0,3
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2020;483,0
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2019;455,1
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2018;470,9
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2017;457,5
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2016;512,1
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2015;454,4
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2014;488,1
Total Nacional;Galicia;Entre 76 y 105 m2;Total;2013;484,8
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2020;119,9
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2019;109,2
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2018;114,9
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2017;102,7
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2016;120,9
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2015;102,2
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2014;111,8
Total Nacional;Galicia;Entre 76 y 105 m2;1 persona;2013;109,2
Total Nacional;Galicia;Entre 76 y 105 m2;2 personas;2020;155,7
Total Nacional;Galicia;Entre 76 y 105 m2;2 personas;2019;141,9
Total Nacional;Galicia;Entre 76 y 105 m2;2 personas;2018;156,0
Total Nacional;Galicia;Entre 76 y 105 m2;2 personas;2017;143,3
Total Nacional;Galicia;Entre 76 y 105 m2;2 personas;2016;161,2
