comunidades_y_ciudades_autónomas,superficie_util,tamaño_hogar,año,total,estimado
01 Andalucia,Entre 76 y 105 m2,3 personas,2014,290.7,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2013,278.0,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2020,265.2,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2019,271.4,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2018,280.2,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2017,302.8,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2016,308.6,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2015,278.4,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2014,279.2,False
01 Andalucia,Entre 76 y 105 m2,4 personas,2013,276.5,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2020,59.1,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2019,61.5,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2018,65.0,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2017,70.0,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2016,66.5,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2015,68.1,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2014,64.2,False
01 Andalucia,Entre 76 y 105 m2,5 personas,2013,67.0,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2020,17.6,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2019,14.3,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2018,12.3,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2017,9.8,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2016,12.8,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2015,14.1,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2014,9.3,False
01 Andalucia,Entre 76 y 105 m2,6 personas,2013,9.4,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2020,2.7,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2019,6.9,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2018,6.3,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2017,2.2,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2016,1.7,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2015,2.0,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2014,4.9,False
01 Andalucia,Entre 76 y 105 m2,7 personas,2013,2.7,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2020,3.2,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2019,1.6,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2018,1.7,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2017,1.3,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2016,1.5,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2015,1.7,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2014,1.1,False
01 Andalucia,Entre 76 y 105 m2,8 personas o más,2013,1.0,False
01 Andalucia,Entre 106 y 150 m2,Total,2020,660.9,False
01 Andalucia,Entre 106 y 150 m2,Total,2019,649.3,False
01 Andalucia,Entre 106 y 150 m2,Total,2018,669.9,False
01 Andalucia,Entre 106 y 150 m2,Total,2017,633.3,False
01 Andalucia,Entre 106 y 150 m2,Total,2016,638.9,False
01 Andalucia,Entre 106 y 150 m2,Total,2015,616.7,False
01 Andalucia,Entre 106 y 150 m2,Total,2014,645.6,False
01 Andalucia,Entre 106 y 150 m2,Total,2013,617.6,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2020,114.3,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2019,119.0,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2018,111.8,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2017,122.8,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2016,112.4,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2015,105.7,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2014,90.8,False
01 Andalucia,Entre 106 y 150 m2,1 persona,2013,90.1,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2020,184.4,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2019,193.8,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2018,193.9,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2017,176.8,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2016,177.3,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2015,156.2,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2014,196.8,False
01 Andalucia,Entre 106 y 150 m2,2 personas,2013,164.0,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2020,162.6,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2019,134.6,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2018,158.8,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2017,135.4,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2016,148.8,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2015,142.5,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2014,131.5,False
01 Andalucia,Entre 106 y 150 m2,3 personas,2013,153.6,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2020,148.2,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2019,157.0,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2018,157.9,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2017,149.6,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2016,142.5,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2015,161.4,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2014,168.1,False
01 Andalucia,Entre 106 y 150 m2,4 personas,2013,153.2,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2020,33.5,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2019,32.4,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2018,38.2,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2017,37.8,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2016,45.7,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2015,41.7,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2014,40.3,False
01 Andalucia,Entre 106 y 150 m2,5 personas,2013,44.8,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2020,9.0,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2019,6.5,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2018,6.3,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2017,7.4,False
01 Andalucia,Entre 106 y 150 m2,6 personas,2016,7.7,False
