Comunidades y Ciudades Autónomas,Tipo Vivienda,Tipo Indicador,Periodo,Total
01 Andalucía,General,Variación en lo que va de año,2017T2,2.5
01 Andalucía,General,Variación en lo que va de año,2017T1,0.9
01 Andalucía,General,Variación en lo que va de año,2016T4,2.1
01 Andalucía,General,Variación en lo que va de año,2016T3,2.1
01 Andalucía,General,Variación en lo que va de año,2016T2,2.1
01 Andalucía,General,Variación en lo que va de año,2016T1,0.9
01 Andalucía,General,Variación en lo que va de año,2015T4,3.0
01 Andalucía,General,Variación en lo que va de año,2015T3,3.7
01 Andalucía,General,Variación en lo que va de año,2015T2,2.6
01 Andalucía,General,Variación en lo que va de año,2015T1,-1.5
01 Andalucía,General,Variación en lo que va de año,2014T4,1.8
01 Andalucía,General,Variación en lo que va de año,2014T3,1.1
01 Andalucía,General,Variación en lo que va de año,2014T2,0.9
01 Andalucía,General,Variación en lo que va de año,2014T1,-0.9
01 Andalucía,General,Variación en lo que va de año,2013T4,-6.3
01 Andalucía,General,Variación en lo que va de año,2013T3,-5.3
01 Andalucía,General,Variación en lo que va de año,2013T2,-6.1
01 Andalucía,General,Variación en lo que va de año,2013T1,-5.4
01 Andalucía,General,Variación en lo que va de año,2012T4,-11.5
01 Andalucía,General,Variación en lo que va de año,2012T3,-10.0
01 Andalucía,General,Variación en lo que va de año,2012T2,-8.2
01 Andalucía,General,Variación en lo que va de año,2012T1,-4.6
01 Andalucía,General,Variación en lo que va de año,2011T4,-8.4
01 Andalucía,General,Variación en lo que va de año,2011T3,-5.5
01 Andalucía,General,Variación en lo que va de año,2011T2,-3.2
01 Andalucía,General,Variación en lo que va de año,2011T1,-3.1
01 Andalucía,General,Variación en lo que va de año,2010T4,-2.1
01 Andalucía,General,Variación en lo que va de año,2010T3,-1.9
01 Andalucía,General,Variación en lo que va de año,2010T2,0.4
01 Andalucía,General,Variación en lo que va de año,2010T1,-0.9
01 Andalucía,General,Variación en lo que va de año,2009T4,-1.7
01 Andalucía,General,Variación en lo que va de año,2009T3,-1.5
