region,year,precio_m2,salario_mensual,superficie_util,interes_medio,esfuerzo_m2,metros_posibles,superficie_cubierta_pct
11 Extremadura,2022,943,1688.21,108.37057598889659,2.063333333333333,0.5585797975370362,1.790254506892895,0.016519747085927832
11 Extremadura,2023,959,1830.92,108.37057598889659,3.3358333333333334,0.5237803945557424,1.9091970802919709,0.017617301217330274
12 Galicia,2020,1327,1600.97,104.33497536945812,2.3033333333333332,0.8288724960492702,1.2064581763376037,0.011563314910129064
12 Galicia,2021,1328,1650.18,104.33497536945812,1.9216666666666666,0.8047606927729096,1.242605421686747,0.011909768678111882
12 Galicia,2022,1338,1700.72,104.33497536945812,2.063333333333333,0.786725622089468,1.2710911808669656,0.012182790827006329
12 Galicia,2023,1375,1829.34,104.33497536945812,3.3358333333333334,0.7516372024883291,1.3304290909090908,0.012751515838269379
"13 Madrid, Comunidad De",2020,2774,1612.7,91.3540159878188,2.3033333333333332,1.7200967321882557,0.5813626532083634,0.006363843416428269
"13 Madrid, Comunidad De",2021,2897,1648.57,91.3540159878188,1.9216666666666666,1.7572805522361805,0.5690610976872627,0.006229185345974737
"13 Madrid, Comunidad De",2022,3062,1711.38,91.3540159878188,2.063333333333333,1.7891993595811566,0.5589092096668844,0.006118058452311607
"13 Madrid, Comunidad De",2023,3208,1840.96,91.3540159878188,3.3358333333333334,1.7425690943855379,0.5738653366583542,0.006281774593630057
"14 Murcia, Region De",2020,1048,1601.25,105.1465892597968,2.3033333333333332,0.6544886807181889,1.5279103053435115,0.014531239825272334
"14 Murcia, Region De",2021,1063,1663.58,105.1465892597968,1.9216666666666666,0.6389833972517102,1.5649858889934147,0.014883848349342445
"14 Murcia, Region De",2022,1080,1703.2,105.1465892597968,2.063333333333333,0.6341005166744951,1.577037037037037,0.01499846117823646
"14 Murcia, Region De",2023,1186,1834.45,105.1465892597968,3.3358333333333334,0.6465153043146447,1.5467537942664418,0.014710451429334656
"15 Navarra, Comunidad Foral De",2020,1451,1592.71,103.13755795981453,2.3033333333333332,0.9110258615818322,1.0976636802205375,0.010642715436875285
"15 Navarra, Comunidad Foral De",2021,1484,1655.09,103.13755795981453,1.9216666666666666,0.8966279779347347,1.1152897574123988,0.010813614162233209
"15 Navarra, Comunidad Foral De",2022,1568,1721.86,103.13755795981453,2.063333333333333,0.910643141718839,1.098125,0.010647188296118687
"15 Navarra, Comunidad Foral De",2023,1687,1822.4,103.13755795981453,3.3358333333333334,0.9257023705004389,1.0802608180201543,0.01047398095697647
16 Pais Vasco,2020,2641,1613.21,86.8225222258808,2.3033333333333332,1.637108621940107,0.6108330177962893,0.007035421249421005
16 Pais Vasco,2021,2690,1644.34,86.8225222258808,1.9216666666666666,1.635914713502074,0.611278810408922,0.007040555776744144
16 Pais Vasco,2022,2773,1720.18,86.8225222258808,2.063333333333333,1.6120406004022834,0.6203317706455103,0.007144825498522507
16 Pais Vasco,2023,2864,1841.67,86.8225222258808,3.3358333333333334,1.555110307492656,0.6430412011173184,0.007406387013779187
"17 Rioja, La",2020,1240,1615.82,96.04128440366974,2.3033333333333332,0.76741221175626,1.3030806451612902,0.013567921891634964
"17 Rioja, La",2021,1265,1663.38,96.04128440366974,1.9216666666666666,0.7604997054190864,1.3149249011857709,0.013691246523307925
"17 Rioja, La",2022,1260,1711.67,96.04128440366974,2.063333333333333,0.736123201318011,1.358468253968254,0.014144628139899668
"17 Rioja, La",2023,1327,1844.22,96.04128440366974,3.3358333333333334,0.7195453904631768,1.3897663903541824,0.014470510249663835
18 Ceuta,2020,2246,1614.1,85.21611721611721,2.3033333333333332,1.391487516262933,0.7186553873552982,0.008433327061038361
18 Ceuta,2021,2084,1643.73,85.21611721611721,1.9216666666666666,1.2678481259087564,0.7887380038387716,0.009255737407495902
18 Ceuta,2022,2124,1721.82,85.21611721611721,2.063333333333333,1.2335784228316549,0.8106497175141243,0.009512868504184832
18 Ceuta,2023,2187,1834.23,85.21611721611721,3.3358333333333334,1.1923259351335438,0.8386968449931413,0.009841997880120685
19 Melilla,2020,1777,1572.0,88.18045112781955,2.3033333333333332,1.1304071246819338,0.8846370287000562,0.01003212182956237
19 Melilla,2021,1842,1691.89,88.18045112781955,1.9216666666666666,1.0887232621506127,0.9185070575461456,0.010416220894750798
19 Melilla,2022,1885,1696.88,88.18045112781955,2.063333333333333,1.1108622884352457,0.9002015915119363,0.01020862991738468
19 Melilla,2023,1934,1845.31,88.18045112781955,3.3358333333333334,1.0480623851818935,0.9541416752843846,0.010820331072034716
